StopId,Code,Name,StopType,Zone,Ward,AddressNo,Street,SupportDisability,Status,Lat,Lng,Routes
9742,BX 01-1,Điểm đầu cuối Nguyễn Siêu,Bến xe,Quận 1,Phường Bến Nghé,Đối diện The Nexus,Nguyễn Siêu,Có,Đang khai thác,10.779948,106.7064,01
1192,Q1 030,Ngô Văn Năm,Trụ dừng,Quận 1,,3C,Tôn Đức Thắng,,Đang khai thác,10.779807,106.707609,"01, 53, 56, 88"
7677,Q1 025,Bảo tàng Tôn Đức Thắng,Nhà chờ,Quận 1,Phường Bến Nghé,số 5B (The Landmarrk),Tôn Đức Thắng,,Đang khai thác,10.777694,106.707045,"01, 53, 56, 88"
79,Q1 031,Bến Bạch Đằng,Trụ dừng,Quận 1,,21,Tôn Đức Thắng,,Đang khai thác,10.773299,106.706359,"01, 03, 19, 45, 53, 56, 88, DL01"
76,Q1 020,Cục Hải Quan Thành Phố,Nhà chờ,Quận 1,Phường Bến Nghé,2-4,Hàm Nghi,,Đang khai thác,10.770885,106.705549,"01, 03, 19, 45, 53, 56, 88"
3691,Q1 193,Chợ Cũ,Nhà chờ,Quận 1,Phường Bến Nghé,84,Hàm Nghi,,Đang khai thác,10.771006,106.703108,"01, 03, 19, 45, 53, 56, 86, 88"
2028,Q1 194,Trường Cao Thắng,Nhà chờ,Quận 1,Phường Bến Nghé,Trường Cao Thắng,Hàm Nghi,,Đang khai thác,10.771043,106.701853,"01, 03, 102, 172, 19, 20, 34, 38, 39, 45, 56, 65, 72-2B, 75, 86, 88, D4"
4223,Q1 102,Trạm Trung chuyển trên đường Hàm Nghi,Nhà chờ,Quận 1,Phường Bến Thành,Hàm Nghi 4,Hàm Nghi,,Đang khai thác,10.771043,106.699514,"01, 102, 44, 65, 86"
120,Q1 124,Trường Ernst Thalmann,Nhà chờ,Quận 1,,8,Trần Hưng Đạo,,Đang khai thác,10.768772,106.695923,"01, 139, 28, 45, 69, 75, DL03"
121,Q1 125,KTX Trần Hưng Đạo,Nhà chờ,Quận 1,,10,Trần Hưng Đạo,,Đang khai thác,10.767363,106.694695,"01, 139, 152, 45, 56, DL03"
122,Q1 126,Rạp Hưng Đạo,Nhà chờ,Quận 1,,112,Trần Hưng Đạo,,Đang khai thác,10.765832,106.693375,"01, 139, 152, 45, 56, DL03"
123,Q1 127,Bệnh viện Răng Hàm Mặt,Nhà chờ,Quận 1,,150,Trần Hưng Đạo,,Đang khai thác,10.763918,106.691696,"01, 139, 152, DL03"
124,Q1 128,Trần Đình Xu,Trụ dừng,Quận 1,,210 - 212,Trần Hưng Đạo,,Đang khai thác,10.762262,106.690247,"01, 139, 152, DL03"
125,Q1 129,Tổng Cty Samco,Nhà chờ,Quận 1,,262,Trần Hưng Đạo,,Đang khai thác,10.759409,106.687798,"01, 139, 152, DL03"
126,Q1 130,Chợ Nanci,Trụ dừng,Quận 1,,290-292-292A,Trần Hưng Đạo,,Đang khai thác,10.757467,106.686035,"01, 139, 152, DL03"
127,Q5 083,Nguyễn Biểu,Trụ dừng,Quận 5,,454,Trần Hưng Đạo,,Đang khai thác,10.755887,106.68283,"01, DL03"
128,Q5 084,Trường Cao đẳng Kinh tế Đối ngoại,Nhà chờ,Quận 5,,520,Trần Hưng Đạo,,Đang khai thác,10.755623,106.681833,"01, DL03"
129,Q5 085,Trần Bình Trọng,Trụ dừng,Quận 5,,560(564),Trần Hưng Đạo,,Đang khai thác,10.755064,106.679794,"01, DL03"
130,Q5 086,Bệnh viện Chấn thương Chỉnh hình,Nhà chờ,Quận 5,,696,Trần Hưng Đạo,,Đang khai thác,10.754537,106.677847,"01, DL03"
131,Q5 087,Rạp Đồng Tháp,Trụ dừng,Quận 5,,780,Trần Hưng Đạo,,Đang khai thác,10.753984,106.675825,"01, DL03"
134,Q5 088,Rạp Đống Đa,Trụ dừng,Quận 5,,882,Trần Hưng Đạo,,Đang khai thác,10.753573,106.674237,"01, DL03"
132,Q5 089,Đồng Khánh,Trụ dừng,Quận 5,,18,Trần Hưng Đạo,,Đang khai thác,10.752983,106.67149,"01, DL03"
14,Q5 099,Nhà Văn hóa Quận 5,Trụ dừng,Quận 5,,388,Trần Phú,,Đang khai thác,10.753025,106.668588,"01, 59, DL03"
136,Q5 090,Ngô Quyền,Biển treo,Quận 5,,212,Trần Hưng Đạo,,Đang khai thác,10.752477,106.666174,01
133,Q5 091,Tản Đà,Trụ dừng,Quận 5,,274,Trần Hưng Đạo,,Đang khai thác,10.752292,106.663706,"01, DL03"
135,Q5 092,Triệu Quang Phục,Trụ dừng,Quận 5,Phường 11,390,Trần Hưng Đạo,,Đang khai thác,10.75206,106.660536,"01, DL03"
137,Q5 014,Bưu điện Quận 5,Ô sơn,Quận 5,,13-15,Châu Văn Liêm,,Đang khai thác,10.751381,106.658894,"01, 07, 08, 10, 45, 56, 62, DL03"
138,Q5 015,Hải Thượng Lãn Ông,Trụ dừng,Quận 5,,210-212,Hải Thượng Lãn Ông,,Đang khai thác,10.750948,106.658358,"01, 07, 10, 25, 39, 47, 56, DL03"
139,Q5 102,Chợ Kim Biên,Trụ dừng,Quận 5,,5,Trang Tử,,Đang khai thác,10.751128,106.655086,"01, 07, 10, 25, 39, 47, 56, DL03"
8,BX14,Bến xe buýt Chợ Lớn,Bến xe,Quận 5,,GA HKXB CHO LON,Lê Quang Sung,,Đang khai thác,10.751253,106.652565,"01, 05, 06, 07, 09, 150, 23, 47, 56, 62-1, 62-10, 62-7, 62-8, 81, 94"
2393,Q6 096,Tháp Mười,Trụ dừng,Quận 6,,13C-13D,Tháp Mười,,Đang khai thác,10.750326,106.653036,"01, 05, 10, 25, 39, 47, 91, DL03"
2,Q5 016,Chợ Kim Biên,Trụ dừng,Quận 5,,11-12,Hải Thượng Lãn Ông,,Đang khai thác,10.750732,106.655075,"01, 07, 10, 25, 39, 47, 56, DL03"
3,Q5 011,Bưu điện Quận 5,Ô sơn,Quận 5,,14-16,Châu Văn Liêm,,Đang khai thác,10.751368,106.659203,"01, 07, 08, 10, 45, 56, 62, DL03"
5,Q5 012,Rạp Đại Quang,Nhà chờ,Quận 5,,68,Châu Văn Liêm,,Đang khai thác,10.752566,106.658937,"01, 07, 08, 10, 45, 56, 62, DL03"
4,Q5 055,Lương Nhữ Học,Trụ dừng,Quận 5,,727,Nguyễn Trãi,,Đang khai thác,10.752962,106.660418,"01, 91, DL03"
7,Q5 056,Triệu Quang Phục,Trụ dừng,Quận 5,,695,Nguyễn Trãi,,Đang khai thác,10.753088,106.662081,"01, 91, DL03"
9,Q5 057,Đại học Sư phạm Thể dục thể thao,Nhà chờ,Quận 5,,639,Nguyễn Trãi,,Đang khai thác,10.753341,106.663486,"01, 91"
12,Q5 058,Siêu thị Điện máy Chợ Lớn,Trụ dừng,Quận 5,,635B,Nguyễn Trãi,,Đang khai thác,10.753626,106.664913,"01, 91, DL03"
6,Q5 059,Ngô Quyền,Trụ dừng,Quận 5,,593,Nguyễn Trãi,,Đang khai thác,10.754,106.666882,"01, 91, DL03"
10,Q5 060,Chung cư Nguyễn Trãi,Trụ dừng,Quận 5,,549,Nguyễn Trãi,,Đang khai thác,10.754337,106.668572,"01, 91, DL03"
3166,Q5 061,Bệnh viện Nguyễn Tri Phương,Nhà chờ,Quận 5,,493,Nguyễn Trãi,,Đang khai thác,10.754638,106.670149,"01, 68, 91"
3519,Q5 062,Trần Phú,Ô sơn,Quận 5,,467-469,Nguyễn Trãi,,Đang khai thác,10.755212,106.673014,"01, 68"
3521,Q5 063,Bệnh viện Nguyễn Trãi,Trụ dừng,Quận 5,,331-333,Nguyễn Trãi,,Đang khai thác,10.755839,106.675084,"01, 68"
15,Q5 096,Bệnh viện Chấn Thương Chỉnh hình,Nhà chờ,Quận 5,,929,Trần Hưng Đạo,,Đang khai thác,10.754421,106.678271,01
19,Q5 097,Trần Bình Trọng,Trụ dừng,Quận 5,,813,Trần Hưng Đạo,,Đang khai thác,10.754912,106.680041,01
20,Q5 098,Nguyễn Biểu,Trụ dừng,Quận 5,,651,Trần Hưng Đạo,,Đang khai thác,10.756066,106.68437,01
18,Q1 131,Chợ Nanci,Trụ dừng,Quận 1,,559-561,Trần Hưng Đạo,,Đang khai thác,10.75699,106.685883,"01, 139, 152, DL03"
22,Q1 132,Tổng Cty Samco,Nhà chờ,Quận 1,,393 bis,Trần Hưng Đạo,,Đang khai thác,10.759734,106.688254,"01, 139, 152, DL03"
21,Q1 133,Sở PCCC,Nhà chờ,Quận 1,,359,Trần Hưng Đạo,,Đang khai thác,10.760656,106.689096,"01, 139, 152, DL03"
23,Q1 134,Hồ Hảo Hớn,Trụ dừng,Quận 1,,301F,Trần Hưng Đạo,,Đang khai thác,10.762395,106.690636,"01, 139, 152, DL03"
24,Q1 135,Bệnh Viện Răng Hàm Mặt,Nhà chờ,Quận 1,Phường Cô Giang,263,Trần Hưng Đạo,,Đang khai thác,10.763567,106.691612,"01, 139, 152, DL03"
25,Q1 136,Rạp Trần Hữu Trang,Nhà chờ,Quận 1,Phường Cô Giang,227 - 229 (255),Trần Hưng Đạo,,Đang khai thác,10.76483,106.692722,"01, 139, 152, DL03"
26,Q1 137,KTX Trần Hưng Đạo,Nhà chờ,Quận 1,Phường Cầu Ông Lãnh,135,Trần Hưng Đạo,,Đang khai thác,10.767064,106.694824,"01, 139, 152, 45, 53, 56, 75, 86, 88"
27,Q1 138,Nguyễn Kim,Nhà chờ,Quận 1,,71C,Trần Hưng Đạo,,Đang khai thác,10.768327,106.695847,"01, 102, 152, 31, 38, 45, 53, 56, 75, 86, 88"
7266,Q1 180,Trạm Trung chuyển trên đường Hàm Nghi,Nhà chờ,Quận 1,Phường Nguyễn Thái Bình,Hàm Nghi 7,Hàm Nghi,Có,Đang khai thác,10.770896,106.700807,"01, 04, 19, 56, 88"
7693,Q1 1950,Nam Kỳ Khởi Nghĩa,Nhà chờ,Quận 1,Phường Nguyễn Thái Bình,93-95,Hàm Nghi,Có,Đang khai thác,10.770875,106.701354,"01, 03, 04, 109, 152, 155, 18, 19, 20, 31, 36, 45, 52, 53, 56, 75, 88, 93"
7588,Q1 200,Giao lộ Hàm Nghi - Tôn Thất Đạm,Nhà chờ,Quận 1,Phường Nguyễn Thái Bình,81-83-83B,Hàm Nghi,,Đang khai thác,10.77078,106.703038,"01, 03, 19, 20, 45, 53, 56, 75, 88"
32,Q1 017,Hồ Tùng Mậu,Nhà chờ,Quận 1,Phường Nguyễn Thái Bình,67,Hàm Nghi,,Đang khai thác,10.770722,106.704074,"01, 03, 19, 20, 45, 53, 56, 75, 88, DL06"
31,Q1 024,Bến Bạch Đằng,Nhà chờ,Quận 1,,Bến thủy nội địa Thủ Thiêm,Tôn Đức Thắng,,Đang khai thác,10.774094,106.706654,"01, 03, 19, 45, 53, 56, 88, DL01, DL02, DL05, DL06"
1092,Q1 0250,Bảo tàng Tôn Đức Thắng,Nhà chờ,Quận 1,Phường Bến Nghé,Đối diện số 1A (đối diện Doanh trại Quân đội),Tôn Đức Thắng,,Đang khai thác,10.776845,106.70696,"01, 53, 56, 88"
1094,Q1 027,Ba Son,Ô sơn,Quận 1,,2,Tôn Đức Thắng,,Đang khai thác,10.781804,106.706922,"01, 44, 53, 56, 88"
1095,Q1 028,TTTM Sài Gòn,Nhà chờ,Quận 1,,6,Tôn Đức Thắng,,Đang khai thác,10.784286,106.704363,"01, 30, 44, DL01"
1189,Q1 029,TTTM Sài Gòn,Ô sơn,Quận 1,,35,Tôn Đức Thắng,,Đang khai thác,10.783838,106.704336,"01, 44"
7803,Q1 026,Ba Son,Ô sơn,Quận 1,Phường Bến Nghé,Đối diện số 2,Tôn Đức Thắng,Có,Đang khai thác,10.781625,106.706815,"01, 44, 53, 56, 88"
35,BX 01,Bến xe buýt Sài Gòn,Bến xe,Quận 1,Phường Phạm Ngũ Lão,BẾN XE BUÝT SÀI GÒN,Lê Lai,Có,Đang khai thác,10.767676,106.689362,"03, 04, 102, 109, 13, 140, 171, 172, 18, 19, 20, 27, 28, 34, 36, 39, 52, 65, 69, 72, 75, 86, 88, 93, D4, DL01, DL02, DL03, DL04, DL05, DL06"
7276,Q1 190,Khách sạn Viễn Đông,Trụ dừng,Quận 1,Phường Phạm Ngũ Lão,277-279-275Y,Phạm Ngũ Lão,Có,Đang khai thác,10.76767,106.690941,"03, 04, 102, 109, 13, 140, 156V, 171, 172, 18, 19, 20, 28, 34, 36, 39, 46, 52, 65, 69, 72, 72-2B, 75, 86, 88, 93, D4, DL01, DL02, DL03"
7277,Q1 191,Sân khấu Sen Hồng,Trụ dừng,Quận 1,Phường Phạm Ngũ Lão,187,Phạm Ngũ Lão,Có,Đang khai thác,10.768788,106.693699,"03, 04, 102, 109, 13, 140, 156V, 171, 172, 18, 19, 20, 28, 34, 36, 39, 46, 52, 65, 69, 72, 72-2B, 93, D4, DL01, DL02, DL03, DL05, DL06"
7278,Q1 192,Trường Emst Thalmann,Nhà chờ,Quận 1,Phường Phạm Ngũ Lão,Trường Emst Thalmann,Phạm Ngũ Lão,Có,Đang khai thác,10.769504,106.695587,"03, 04, 109, 13, 156V, 171, 172, 18, 19, 20, 28, 34, 36, 39, 52, 65, 69, 72-2B, 93, D4, DL01, DL02, DL03"
7265,Q1 179,Trạm Trung chuyển trên đường Hàm Nghi,Nhà chờ,Quận 1,Phường Nguyễn Thái Bình,Hàm nghi 5,Hàm Nghi,Có,Đang khai thác,10.770911,106.700259,"03, 155, 45, 53"
1256,Q1 195,Chợ Cũ,Nhà chờ,Quận 1,Phường Nguyễn Thái Bình,89A,Hàm Nghi,,Đang khai thác,10.770811,106.701998,"03, 04, 109, 152, 155, 18, 19, 20, 31, 36, 45, 52, 53, 56, 75, 86, 88, 93"
7270,Q1 184,Trạm Trung chuyển trên đường Hàm Nghi,Nhà chờ,Quận 1,Phường Bến Thành,Hàm Nghi 6,Hàm Nghi,Có,Đang khai thác,10.771096,106.699948,"03, 172, 53, 72-2B, D4"
7273,Q1 187,Khách sạn New World,Nhà chờ,Quận 1,Phường Bến Thành,Số 76,Lê Lai,Có,Đang khai thác,10.770964,106.695946,"03, 04, 102, 109, 171, 172, 18, 19, 20, 34, 36, 39, 52, 53, 72-2B, 86, 88, 93, D4, DL01, DL03"
7274,Q1 188,Sân khấu Sen Hồng,Trụ dừng,Quận 1,Phường Bến Thành,94-96,Lê Lai,Có,Đang khai thác,10.769952,106.693495,"03, 04, 102, 109, 13, 140, 156D, 171, 172, 18, 19, 20, 34, 36, 39, 52, 53, 69, 72, 72-2B, 75, 86, 88, 93, D4, DL01, DL03"
7275,Q1 189,Tôn Thất Tùng,Trụ dừng,Quận 1,Phường Bến Thành,202-204,Lê Lai,Có,Đang khai thác,10.768761,106.690469,"03, 04, 102, 109, 13, 140, 156D, 171, 172, 18, 19, 20, 34, 36, 39, 52, 53, 69, 72, 72-2B, 75, 86, 88, 93, D4, DL01, DL03"
4271,Q1 078,"Đền Thờ Ấn Giáo, Pasteur",Nhà chờ,Quận 1,,Đền Thờ Ấn Giáo,Pasteur,,Đang khai thác,10.773595,106.70139,"04, 109, 152, 155, 171, 18, 31, 36, 52, 93"
1451,Q1 118,Trần Hưng Đạo,Trụ dừng,Quận 1,,197,Nguyễn Thái Học,,Đang khai thác,10.768461,106.694984,"102, 140, 152, 155, 31, 38, 46, 56, 72"
7564,Q1 196,Bảo tàng Mỹ Thuật,Trụ dừng,Quận 1,Phường Bến Nghé,56,Nguyễn Thái Bình,Có,Đang khai thác,10.769251,106.699669,"102, 172, 34, 38, 39, 72-2B, 86, D4"
851,Q4 007,Đoàn Văn Bơ,Trụ dừng,Quận 4,,106-108,Hoàng Diệu,,Đang khai thác,10.763744,106.704031,"102, 155, 20, 31, 34, 75"
6860,BX 84,Ủy ban nhân dân xã An Thới Đông,Bến xe,Huyện Cần Giờ,Xã An Thới Đông,Ủy ban nhân dân xã An Thới Đông,An Thới Đông,,Đang khai thác,10.591123,106.788638,127
6864,HCG 043,Trường tiểu học An Thới Đông,Nhà chờ,Huyện Cần Giờ,Xã An Thới Đông,Trường tiểu học An Thới Đông,An Thới Đông,Có,Đang khai thác,10.590806,106.792517,127
7100,HCG 131,Quán Phương Trang,Ô sơn,Huyện Cần Giờ,Xã An Thới Đông,Trụ điện ATĐ 52,An Thới Đông,Có,Đang khai thác,10.590268,106.80133,127
7098,HCG 129,Rạch Giồng,Ô sơn,Huyện Cần Giờ,Xã An Thới Đông,Đối điện trụ điện ATĐ 43.1,An Thới Đông,Có,Đang khai thác,10.587036,106.803616,127
6865,HCG 044,Trường Trung học An Thới Đôn,Nhà chờ,Huyện Cần Giờ,Xã An Thới Đông,Đối diện Trường THCS An Thới Đông,An Thới Đông,,Đang khai thác,10.58335,106.805504,127
7096,HCG 127,An Thới Đông,Ô sơn,Huyện Cần Giờ,Xã An Thới Đông,Đối diện ATĐ 18,An Thới Đông,Có,Đang khai thác,10.576036,106.81708,127
6866,HCG 045,Rừng Sác,Nhà chờ,Huyện Cần Giờ,Xã An Thới Đông,Đối diện trụ điện TĐ11,An Thới Đông,,Đang khai thác,10.576221,106.824365,127
6867,HCG 046,Tam Thôn Hiệp,Trụ dừng,Huyện Cần Giờ,Xã Tam Thôn Hiệp,Cửa hàng Kim Nguyên,Tam Thôn Hiệp,Có,Đang khai thác,10.587437,106.825535,"127, 128"
6868,HCG 047,Trường An Nghĩa,Nhà chờ,Huyện Cần Giờ,Xã Tam Thôn Hiệp,Đối diện Trường THPT An Nghĩa,Tam Thôn Hiệp,Có,Đang khai thác,10.588829,106.830411,127
7094,HCG 125,Tam Thôn Hiệp,Ô sơn,Huyện Cần Giờ,Xã Tam Thôn Hiệp,TTH 19,Tam Thôn Hiệp,Có,Đang khai thác,10.587305,106.833785,127
7092,HCG 123,Thuận Yến,Ô sơn,Huyện Cần Giờ,Xã Tam Thôn Hiệp,Đối diện HTX Thuận Yến,Tam Thôn Hiệp,Có,Đang khai thác,10.588154,106.837851,127
6869,HCG 048,Đê An Hòa,Trụ dừng,Huyện Cần Giờ,Xã Tam Thôn Hiệp,Đối diện ngã 3 Đê An Hòa,Tam Thôn Hiệp,Có,Đang khai thác,10.587632,106.845195,127
7090,HCG 121,Đê N1,Ô sơn,Huyện Cần Giờ,Xã Tam Thôn Hiệp,Trụ điện TTH 62.1,Tam Thôn Hiệp,Có,Đang khai thác,10.587785,106.849819,127
