RouteId,RouteNo,RouteVarId,TimeTableId,RouteVarShortName,StartDate,EndDate,ApplyDates,TotalTrip,RunningTime_min,Headway_min,OperationTime
1,01,1,1,Bến xe buýt Chợ Lớn,01/03/2026,,"T2, T3, T4, T5, T6, T7, CN",108,40,8 - 20,05:00 - 22:00
1,01,2,2,Ga Ba Son,01/03/2026,,"T2, T3, T4, T5, T6, T7, CN",108,40,8 - 20,05:00 - 22:00
178,127,1,29,Ngã ba Bà Xán,01/03/2026,,"T2, T3, T4, T5, T6, T7, CN",60,40,8 - 30,05:00 - 20:00
178,127,2,30,An Thới Đông,01/03/2026,,"T2, T3, T4, T5, T6, T7, CN",60,40,8 - 30,05:00 - 20:00
178,127,1,31,Ngã ba Bà Xán,11/03/2026,,"T2, T3, T4, T5, T6, T7, CN",60,40,8 - 30,05:00 - 20:00
178,127,2,32,An Thới Đông,11/03/2026,,"T2, T3, T4, T5, T6, T7, CN",60,40,8 - 30,05:00 - 20:00
345,155,1,4,Ga Nhà hát Thành phố,01/06/2026,,"T2, T3, T4, T5, T6, T7, CN",57,30,15 - 30,05:00 - 22:00
404,172,1,21,Bến Thành,10/07/2026,,"T2, T3, T4, T5, T6, T7, CN",42,180 - 210,15 - 30,04:00 - 21:30
404,172,2,22,Bến xe Vũng Tàu,10/07/2026,,"T2, T3, T4, T5, T6, T7, CN",42,180 - 210,15 - 45,04:30 - 21:30
384,MRT1,1,59,Suối Tiên,17/08/2026,,"T2, T3, T4, T5",114,29,15,05:00 - 22:00
384,MRT1,2,60,Bến Thành,17/08/2026,,"T2, T3, T4, T5",114,29,15,05:00 - 22:00
384,MRT1,1,61,Suối Tiên,17/08/2026,,T6,118,29,15,05:00 - 23:00
384,MRT1,2,62,Bến Thành,17/08/2026,,T6,118,29,15,05:00 - 23:00
384,MRT1,1,63,Suối Tiên,17/08/2026,,"T7, CN",115,29,15,05:00 - 23:00
384,MRT1,2,64,Bến Thành,17/08/2026,,"T7, CN",115,29,15,05:00 - 23:00
